rank_from_low,rank_from_high,percentile,ideology,id,bioguide_id,state,district,name,first_name_x,last_name_x,first_name_y,last_name_y
75,26,74,0.8409842003310483,300027,C001056,TX,,Cornyn,John,Cornyn,John,Cornyn
76,25,75,0.8527763320245998,456796,T000278,AL,,Tuberville,Thomas Hawley (Tommy),Tuberville,Thomas Hawley (Tommy),Tuberville
77,24,76,0.8547743648672725,400546,T000250,SD,,Thune,John,Thune,John,Thune
78,23,77,0.8589960740829816,456875,S001227,MO,,Schmitt,Eric Stephen,Schmitt,Eric Stephen,Schmitt
79,22,78,0.8620036230404031,412494,H001061,ND,,Hoeven,John,Hoeven,John,Hoeven
80,21,79,0.8659191017954849,412840,H001089,MO,,Hawley,Joshua David,Hawley,Joshua David,Hawley
81,20,80,0.8735311150234345,412743,H001079,MS,,Hyde-Smith,Cindy,Hyde-Smith,Cindy,Hyde-Smith
82,19,81,0.878440345015132,412704,M001198,KS,,Marshall,Roger Wayne,Marshall,Roger Wayne,Marshall
83,18,82,0.8849223137868533,412508,C001095,AR,,Cotton,Tom,Cotton,Tom,Cotton
84,17,83,0.8849300137191748,412549,D000618,MT,,Daines,Steve,Daines,Steve,Daines
85,16,84,0.8860267796032182,412491,R000595,FL,,Rubio,Marco,Rubio,Marco,Rubio
86,15,85,0.890714791244327,300030,C000880,ID,,Crapo,Michael Dean,Crapo,Michael Dean,Crapo
87,14,86,0.8918747537968729,412322,R000584,ID,,Risch,James,Risch,James,Risch
88,13,87,0.9013030496380346,412555,C001096,ND,,Cramer,Kevin,Cramer,Kevin,Cramer
89,12,88,0.907918236853886,412495,L000577,UT,,Lee,Mike,Lee,Mike,Lee
90,11,89,0.9165061478136504,412251,B001261,WY,,Barrasso,John A.,Barrasso,John A.,Barrasso
91,10,90,0.9172180626117752,412839,B001310,IN,,Braun,Michael,Braun,Michael,Braun
92,9,91,0.9297887165031304,456798,H000601,TN,,Hagerty,William Francis (Bill),Hagerty,William Francis (Bill),Hagerty
93,8,92,0.9305437972463436,456874,B001319,AL,,Britt,Katie Elizabeth,Britt,Katie Elizabeth,Britt
94,7,93,0.9407769471257896,412294,L000571,WY,,Lummis,Cynthia M.,Lummis,Cynthia M.,Lummis
95,6,94,0.9429965985544788,456952,R000618,NE,,Ricketts,John Peter (Pete),Ricketts,John Peter (Pete),Ricketts
96,5,95,0.9525290835509944,412573,C001098,TX,,Cruz,Rafael Edward (Ted),Cruz,Rafael Edward (Ted),Cruz
97,4,96,0.961569141598222,412712,B001305,NC,,Budd,Theodore Paul,Budd,Theodore Paul,Budd
98,3,97,0.9698604458043616,412464,L000575,OK,,Lankford,James,Lankford,James,Lankford
99,2,98,0.980413112041818,400032,B001243,TN,,Blackburn,Marsha,Blackburn,Marsha,Blackburn
100,1,99,1.0,412838,S001217,FL,,Scott,Richard Lynn (Rick),Scott,Richard Lynn (Rick),Scott
