id,givenName,familyName,middleName,honorificSuffix,birthYear,deathYear,num_terms,positions,states,parties,congress_range
L000376,Edward,Lloyd,,,1779.0,1834.0,6,"['Senator', 'Representative']",['MD'],"['Democratic Republican', 'Jacksonian', 'Crawford Republican']",9-19
L000377,James,Lloyd,,,1756.0,1830.0,2,['Senator'],['MD'],['Federalist'],5-6
L000378,James,Lloyd,,,1769.0,1831.0,7,['Senator'],['MA'],"['Adams', 'Adams-Clay Federalist', 'Federalist']",10-19
L000387,Francis,Locke,,,1776.0,1823.0,2,['Senator'],['NC'],['Unknown'],13-14
L000388,John,Locke,,,1764.0,1855.0,3,['Representative'],['MA'],"['Adams', 'Adams-Clay Republican']",18-20
L000389,Matthew,Locke,,,1730.0,1801.0,3,['Representative'],['NC'],"['Democratic Republican', 'Anti-Administration']",3-5
L000401,George,Logan,,,1753.0,1821.0,3,['Senator'],['PA'],['Democratic Republican'],7-9
L000405,William,Logan,,,1776.0,1822.0,1,['Senator'],['KY'],['Democratic Republican'],16-16
L000421,John,Long,,,1785.0,1857.0,4,['Representative'],['NC'],"['Democratic Republican', 'Adams', 'Crawford Republican']",17-20
L000430,Stephen,Longfellow,,,1775.0,1849.0,1,['Representative'],['ME'],['Adams-Clay Federalist'],18-18
L000455,James,Love,,,1795.0,1874.0,1,['Representative'],['KY'],['Anti-Jacksonian'],23-23
L000456,John,Love,,,,1822.0,2,['Representative'],['VA'],['Democratic Republican'],10-11
L000460,William,Love,Carter,,1784.0,1824.0,1,['Representative'],['NC'],['Democratic Republican'],14-14
L000466,John,Lovett,,,1761.0,1818.0,2,['Representative'],['NY'],['Federalist'],13-14
L000478,Christian,Lower,,,1740.0,1806.0,1,['Representative'],['PA'],['Democratic Republican'],9-9
L000482,Thomas,Lowndes,,,1766.0,1843.0,2,['Representative'],['SC'],['Federalist'],7-8
L000483,William,Lowndes,,,1782.0,1822.0,6,['Representative'],['SC'],['Democratic Republican'],12-17
L000485,Walter,Lowrie,,,1784.0,1868.0,3,['Senator'],['PA'],"['Democratic Republican', 'Crawford Republican']",16-18
