"id","givenName","familyName","middleName","unaccentedGivenName","unaccentedFamilyName","unaccentedMiddleName","nickName","honorificPrefix","honorificSuffix","honorificTitle","birthYear","deathYear","congresses"
"A000272","John","Archer",,"John","Archer",,,"Mr.",,,"1741","1810","[{""position"":""Representative"",""congressNumber"":7,""stateName"":""MD"",""parties"":[""Democratic Republican""],""electionDate"":""1801-04-06"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":8,""stateName"":""MD"",""parties"":[""Democratic Republican""],""electionDate"":""1803-10-03"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":9,""stateName"":""MD"",""parties"":[""Democratic Republican""],""electionDate"":""1804-10-01"",""electionCirca"":false}]"
"A000273","Stevenson","Archer",,"Stevenson","Archer",,,"Mr.",,,"1786","1848","[{""position"":""Representative"",""congressNumber"":12,""stateName"":""MD"",""parties"":[""Democratic Republican""],""electionDate"":""1811-10-02"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":13,""stateName"":""MD"",""parties"":[""Democratic Republican""],""electionDate"":""1812-10-12"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":14,""stateName"":""MD"",""parties"":[""Democratic Republican""],""electionDate"":""1814-10-03"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":16,""stateName"":""MD"",""parties"":[""Democratic Republican""],""electionDate"":""1818-10-05"",""electionCirca"":false}]"
"A000275","William","Archer","Segar","William","Archer","Segar",,"Mr.",,,"1789","1855","[{""position"":""Representative"",""congressNumber"":16,""stateName"":""VA"",""parties"":[""Democratic Republican""],""electionDate"":""1819-04"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":17,""stateName"":""VA"",""parties"":[""Democratic Republican""],""electionDate"":""1821-04-01"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":18,""stateName"":""VA"",""parties"":[""Crawford Republican""],""electionDate"":""1823-03-31"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":19,""stateName"":""VA"",""parties"":[""Jacksonian""],""electionDate"":""1825-04"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":20,""stateName"":""VA"",""parties"":[""Jacksonian""],""electionDate"":""1827-04-09"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":21,""stateName"":""VA"",""parties"":[""Jacksonian""],""electionDate"":""1829-04"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":22,""stateName"":""VA"",""parties"":[""Jacksonian""],""electionDate"":""1831-08-02"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":23,""stateName"":""VA"",""parties"":[""Jacksonian""],""electionDate"":""1833-04"",""electionCirca"":false},{""position"":""Senator"",""congressNumber"":27,""stateName"":""VA"",""parties"":[""Whig""]},{""position"":""Senator"",""congressNumber"":28,""stateName"":""VA"",""parties"":[""Whig""]},{""position"":""Senator"",""congressNumber"":29,""stateName"":""VA"",""parties"":[""Whig""]}]"
"A000280","James","Armstrong",,"James","Armstrong",,,"Mr.",,,"1748","1828","[{""position"":""Representative"",""congressNumber"":3,""stateName"":""PA"",""parties"":[""Pro-Administration""]}]"
"A000282","John","Armstrong",,"John","Armstrong",,,,"Jr.",,"1758","1843","[{""position"":""Delegate"",""congressNumber"":1,""stateName"":""PA""},{""position"":""Senator"",""congressNumber"":6,""stateName"":""NY"",""parties"":[""Democratic Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":7,""stateName"":""NY"",""parties"":[""Democratic Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":8,""stateName"":""NY"",""parties"":[""Democratic Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":8,""stateName"":""NY"",""parties"":[""Democratic Republican""],""electionCirca"":false}]"
"A000284","William","Armstrong",,"William","Armstrong",,,"Mr.",,,"1782","1865","[{""position"":""Representative"",""congressNumber"":19,""stateName"":""VA"",""parties"":[""Adams""],""electionDate"":""1825-04"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":20,""stateName"":""VA"",""parties"":[""Adams""],""electionDate"":""1827-04-09"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":21,""stateName"":""VA"",""parties"":[""Anti-Jacksonian""]},{""position"":""Representative"",""congressNumber"":22,""stateName"":""VA"",""parties"":[""Anti-Jacksonian""]}]"
"A000287","Benedict","Arnold",,"Benedict","Arnold",,,"Mr.",,,"1780","1849","[{""position"":""Representative"",""congressNumber"":21,""stateName"":""NY"",""parties"":[""Anti-Jacksonian""],""electionDate"":""1828-11-03"",""electionCirca"":false}]"
"A000297","Thomas","Arnold","Dickens","Thomas","Arnold","Dickens",,"Mr.",,,"1798","1870","[{""position"":""Representative"",""congressNumber"":22,""stateName"":""TN"",""parties"":[""Anti-Jacksonian""],""electionDate"":""1831-08-04"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":27,""stateName"":""TN"",""parties"":[""Whig""],""electionDate"":""1841-05-06"",""electionCirca"":false}]"
"A000307","John","Ashe","Baptista","John","Ashe","Baptista",,"Mr.",,,"1748","1802","[{""position"":""Delegate"",""congressNumber"":1,""stateName"":""NC""},{""position"":""Representative"",""congressNumber"":1,""stateName"":""NC"",""parties"":[""Anti-Administration""]},{""position"":""Representative"",""congressNumber"":2,""stateName"":""NC"",""parties"":[""Anti-Administration""]}]"
"A000313","Henry","Ashley",,"Henry","Ashley",,,"Mr.",,,"1778","1829","[{""position"":""Representative"",""congressNumber"":19,""stateName"":""NY"",""parties"":[""Jacksonian""],""electionDate"":""1824-11-01"",""electionCirca"":true}]"
"A000315","William","Ashley","Henry","William","Ashley","Henry",,"Mr.",,,"1778","1838","[{""position"":""Representative"",""congressNumber"":22,""stateName"":""MO"",""parties"":[""Jacksonian""],""electionDate"":""1831-10-31"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":23,""stateName"":""MO"",""parties"":[""Jacksonian""],""electionDate"":""1832-08-06"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":24,""stateName"":""MO"",""parties"":[""Jacksonian""],""electionDate"":""1835-08-03"",""electionCirca"":false}]"
"A000317","Eli","Ashmun","Porter","Eli","Ashmun","Porter",,,,,"1770","1819","[{""position"":""Senator"",""congressNumber"":14,""stateName"":""MA"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":15,""stateName"":""MA"",""parties"":[""Federalist""]}]"
